emd_code,sgg_code,sido_code,emd_name,sgg_name,sido_name,use_yn
1120011000,11200,11,금호동2가,성동구,서울특별시,1
1120011100,11200,11,금호동3가,성동구,서울특별시,1
1120011200,11200,11,금호동4가,성동구,서울특별시,1
1120011300,11200,11,옥수동,성동구,서울특별시,1
1120011400,11200,11,성수동1가,성동구,서울특별시,1
1120011500,11200,11,성수동2가,성동구,서울특별시,1
1120011800,11200,11,송정동,성동구,서울특별시,1
1120012200,11200,11,용답동,성동구,서울특별시,1
1121510100,11215,11,중곡동,광진구,서울특별시,1
1121510200,11215,11,능동,광진구,서울특별시,1
1121510300,11215,11,구의동,광진구,서울특별시,1
1121510400,11215,11,광장동,광진구,서울특별시,1
1121510500,11215,11,자양동,광진구,서울특별시,1
1121510700,11215,11,화양동,광진구,서울특별시,1
1121510900,11215,11,군자동,광진구,서울특별시,1
1123010100,11230,11,신설동,동대문구,서울특별시,1
1123010200,11230,11,용두동,동대문구,서울특별시,1
1123010300,11230,11,제기동,동대문구,서울특별시,1
1123010400,11230,11,전농동,동대문구,서울특별시,1
1123010500,11230,11,답십리동,동대문구,서울특별시,1
1123010600,11230,11,장안동,동대문구,서울특별시,1
1123010700,11230,11,청량리동,동대문구,서울특별시,1
1123010800,11230,11,회기동,동대문구,서울특별시,1
1123010900,11230,11,휘경동,동대문구,서울특별시,1
1123011000,11230,11,이문동,동대문구,서울특별시,1
1126010100,11260,11,면목동,중랑구,서울특별시,1
1126010200,11260,11,상봉동,중랑구,서울특별시,1
1126010300,11260,11,중화동,중랑구,서울특별시,1
1126010400,11260,11,묵동,중랑구,서울특별시,1
1126010500,11260,11,망우동,중랑구,서울특별시,1
1126010600,11260,11,신내동,중랑구,서울특별시,1
1129010100,11290,11,성북동,성북구,서울특별시,1
1129010200,11290,11,성북동1가,성북구,서울특별시,1
1129010300,11290,11,돈암동,성북구,서울특별시,1
1129010400,11290,11,동소문동1가,성북구,서울특별시,1
1129010500,11290,11,동소문동2가,성북구,서울특별시,1
1129010600,11290,11,동소문동3가,성북구,서울특별시,1
1129010700,11290,11,동소문동4가,성북구,서울특별시,1
1129010800,11290,11,동소문동5가,성북구,서울특별시,1
1129010900,11290,11,동소문동6가,성북구,서울특별시,1
1129011000,11290,11,동소문동7가,성북구,서울특별시,1
1129011100,11290,11,삼선동1가,성북구,서울특별시,1
1129011200,11290,11,삼선동2가,성북구,서울특별시,1
1129011300,11290,11,삼선동3가,성북구,서울특별시,1
1129011400,11290,11,삼선동4가,성북구,서울특별시,1
1129011500,11290,11,삼선동5가,성북구,서울특별시,1
1129011600,11290,11,동선동1가,성북구,서울특별시,1
1129011700,11290,11,동선동2가,성북구,서울특별시,1
1129011800,11290,11,동선동3가,성북구,서울특별시,1
1129011900,11290,11,동선동4가,성북구,서울특별시,1
1129012000,11290,11,동선동5가,성북구,서울특별시,1
1129012100,11290,11,안암동1가,성북구,서울특별시,1
1129012200,11290,11,안암동2가,성북구,서울특별시,1
1129012300,11290,11,안암동3가,성북구,서울특별시,1
1129012400,11290,11,안암동4가,성북구,서울특별시,1
1129012500,11290,11,안암동5가,성북구,서울특별시,1
1129012600,11290,11,보문동4가,성북구,서울특별시,1
1129012700,11290,11,보문동5가,성북구,서울특별시,1
1129012800,11290,11,보문동6가,성북구,서울특별시,1
1129012900,11290,11,보문동7가,성북구,서울특별시,1
1129013000,11290,11,보문동1가,성북구,서울특별시,1
1129013100,11290,11,보문동2가,성북구,서울특별시,1
1129013200,11290,11,보문동3가,성북구,서울특별시,1
1129013300,11290,11,정릉동,성북구,서울특별시,1
1129013400,11290,11,길음동,성북구,서울특별시,1
1129013500,11290,11,종암동,성북구,서울특별시,1
1129013600,11290,11,하월곡동,성북구,서울특별시,1
1129013700,11290,11,상월곡동,성북구,서울특별시,1
1129013800,11290,11,장위동,성북구,서울특별시,1
1129013900,11290,11,석관동,성북구,서울특별시,1
1130510100,11305,11,미아동,강북구,서울특별시,1
1130510200,11305,11,번동,강북구,서울특별시,1
1130510300,11305,11,수유동,강북구,서울특별시,1
1130510400,11305,11,우이동,강북구,서울특별시,1
1132010500,11320,11,쌍문동,도봉구,서울특별시,1
1132010600,11320,11,방학동,도봉구,서울특별시,1
1132010700,11320,11,창동,도봉구,서울특별시,1
1132010800,11320,11,도봉동,도봉구,서울특별시,1
1135010200,11350,11,월계동,노원구,서울특별시,1
1135010300,11350,11,공릉동,노원구,서울특별시,1
1135010400,11350,11,하계동,노원구,서울특별시,1
1135010500,11350,11,상계동,노원구,서울특별시,1
1135010600,11350,11,중계동,노원구,서울특별시,1
1138010100,11380,11,수색동,은평구,서울특별시,1
1138010200,11380,11,녹번동,은평구,서울특별시,1
1138010300,11380,11,불광동,은평구,서울특별시,1
1138010400,11380,11,갈현동,은평구,서울특별시,1
1138010500,11380,11,구산동,은평구,서울특별시,1
1138010600,11380,11,대조동,은평구,서울특별시,1
1138010700,11380,11,응암동,은평구,서울특별시,1
1138010800,11380,11,역촌동,은평구,서울특별시,1
1138010900,11380,11,신사동,은평구,서울특별시,1
1138011000,11380,11,증산동,은평구,서울특별시,1
1138011400,11380,11,진관동,은평구,서울특별시,1
1141010100,11410,11,충정로2가,서대문구,서울특별시,1
1141010200,11410,11,충정로3가,서대문구,서울특별시,1
1141010300,11410,11,합동,서대문구,서울특별시,1
1141010400,11410,11,미근동,서대문구,서울특별시,1
1141010500,11410,11,냉천동,서대문구,서울특별시,1
1141010600,11410,11,천연동,서대문구,서울특별시,1
1141010700,11410,11,옥천동,서대문구,서울특별시,1
1141010800,11410,11,영천동,서대문구,서울특별시,1
1141010900,11410,11,현저동,서대문구,서울특별시,1
1141011000,11410,11,북아현동,서대문구,서울특별시,1
1141011100,11410,11,홍제동,서대문구,서울특별시,1
1141011200,11410,11,대현동,서대문구,서울특별시,1
1141011300,11410,11,대신동,서대문구,서울특별시,1
1141011400,11410,11,신촌동,서대문구,서울특별시,1
1141011500,11410,11,봉원동,서대문구,서울특별시,1
1141011600,11410,11,창천동,서대문구,서울특별시,1
1141011700,11410,11,연희동,서대문구,서울특별시,1
1141011800,11410,11,홍은동,서대문구,서울특별시,1
1141011900,11410,11,북가좌동,서대문구,서울특별시,1
1141012000,11410,11,남가좌동,서대문구,서울특별시,1
1144010100,11440,11,아현동,마포구,서울특별시,1
1144010200,11440,11,공덕동,마포구,서울특별시,1
1144010300,11440,11,신공덕동,마포구,서울특별시,1
1144010400,11440,11,도화동,마포구,서울특별시,1
1144010500,11440,11,용강동,마포구,서울특별시,1
1144010600,11440,11,토정동,마포구,서울특별시,1
1144010700,11440,11,마포동,마포구,서울특별시,1
1144010800,11440,11,대흥동,마포구,서울특별시,1
1144010900,11440,11,염리동,마포구,서울특별시,1
1144011000,11440,11,노고산동,마포구,서울특별시,1
1144011100,11440,11,신수동,마포구,서울특별시,1
1144011200,11440,11,현석동,마포구,서울특별시,1
1144011300,11440,11,구수동,마포구,서울특별시,1
1144011400,11440,11,창전동,마포구,서울특별시,1
1144011500,11440,11,상수동,마포구,서울특별시,1
1144011600,11440,11,하중동,마포구,서울특별시,1
1144011700,11440,11,신정동,마포구,서울특별시,1
1144011800,11440,11,당인동,마포구,서울특별시,1
1144012000,11440,11,서교동,마포구,서울특별시,1
1144012100,11440,11,동교동,마포구,서울특별시,1
1144012200,11440,11,합정동,마포구,서울특별시,1
1144012300,11440,11,망원동,마포구,서울특별시,1
1144012400,11440,11,연남동,마포구,서울특별시,1
1144012500,11440,11,성산동,마포구,서울특별시,1
1144012600,11440,11,중동,마포구,서울특별시,1
1144012700,11440,11,상암동,마포구,서울특별시,1
1147010100,11470,11,신정동,양천구,서울특별시,1
1147010200,11470,11,목동,양천구,서울특별시,1
1147010300,11470,11,신월동,양천구,서울특별시,1
1150010100,11500,11,염창동,강서구,서울특별시,1
1150010200,11500,11,등촌동,강서구,서울특별시,1
1150010300,11500,11,화곡동,강서구,서울특별시,1
1150010400,11500,11,가양동,강서구,서울특별시,1
1150010500,11500,11,마곡동,강서구,서울특별시,1
1150010600,11500,11,내발산동,강서구,서울특별시,1
1150010700,11500,11,외발산동,강서구,서울특별시,1
1150010800,11500,11,공항동,강서구,서울특별시,1
1150010900,11500,11,방화동,강서구,서울특별시,1
1150011000,11500,11,개화동,강서구,서울특별시,1
1150011100,11500,11,과해동,강서구,서울특별시,1
1150011200,11500,11,오곡동,강서구,서울특별시,1
1150011300,11500,11,오쇠동,강서구,서울특별시,1
1153010100,11530,11,신도림동,구로구,서울특별시,1
1153010200,11530,11,구로동,구로구,서울특별시,1
1153010300,11530,11,가리봉동,구로구,서울특별시,1
1153010600,11530,11,고척동,구로구,서울특별시,1
1153010700,11530,11,개봉동,구로구,서울특별시,1
1153010800,11530,11,오류동,구로구,서울특별시,1
1153010900,11530,11,궁동,구로구,서울특별시,1
1153011000,11530,11,온수동,구로구,서울특별시,1
1153011100,11530,11,천왕동,구로구,서울특별시,1
1153011200,11530,11,항동,구로구,서울특별시,1
1154510100,11545,11,가산동,금천구,서울특별시,1
1154510200,11545,11,독산동,금천구,서울특별시,1
1154510300,11545,11,시흥동,금천구,서울특별시,1
1156010100,11560,11,영등포동,영등포구,서울특별시,1
1156010200,11560,11,영등포동1가,영등포구,서울특별시,1
1156010300,11560,11,영등포동2가,영등포구,서울특별시,1
1156010400,11560,11,영등포동3가,영등포구,서울특별시,1
1156010500,11560,11,영등포동4가,영등포구,서울특별시,1
1156010600,11560,11,영등포동5가,영등포구,서울특별시,1
1156010700,11560,11,영등포동6가,영등포구,서울특별시,1
1156010800,11560,11,영등포동7가,영등포구,서울특별시,1
1156010900,11560,11,영등포동8가,영등포구,서울특별시,1
1156011000,11560,11,여의도동,영등포구,서울특별시,1
1156011100,11560,11,당산동1가,영등포구,서울특별시,1
1156011200,11560,11,당산동2가,영등포구,서울특별시,1
1156011300,11560,11,당산동3가,영등포구,서울특별시,1
1156011400,11560,11,당산동4가,영등포구,서울특별시,1
1156011500,11560,11,당산동5가,영등포구,서울특별시,1
1156011600,11560,11,당산동6가,영등포구,서울특별시,1
1156011700,11560,11,당산동,영등포구,서울특별시,1
